near_group,sample_id_a,sample_id_b,phash_distance,split_a,split_b
29470,hf_kien_indoor_1725_jpg.rf.d707864171fa9b1e146c1730c4b5fd85_dbdd18b92858,hf_kien_indoor_1727_jpg.rf.8f8efc10246ab34c0ffa9a78f88c1708_f116865703ac,2,train,train
29473,hf_kien_indoor_1725_jpg.rf.d707864171fa9b1e146c1730c4b5fd85_dbdd18b92858,hf_kien_indoor_1745_jpg.rf.329492dc9cdf24f95aaceb1da73a9bdf_999351d86b81,4,train,train
29474,hf_kien_indoor_1725_jpg.rf.d707864171fa9b1e146c1730c4b5fd85_dbdd18b92858,hf_kien_indoor_1745_jpg.rf.6c88f752201bf372c0098340d7c1e7d8_e22172f6a99f,6,train,train
29476,hf_kien_indoor_1725_jpg.rf.d707864171fa9b1e146c1730c4b5fd85_dbdd18b92858,hf_kien_indoor_1745_jpg.rf.aed01b85da90b573f8afb0fce37b1afe_423843248e0e,6,train,train
29478,hf_kien_indoor_1725_jpg.rf.d707864171fa9b1e146c1730c4b5fd85_dbdd18b92858,hf_kien_indoor_1746_jpg.rf.6268ee99a4d9625a94db5e3842f76d25_796428bcb526,6,train,train
34380,hf_kien_indoor_1727_jpg.rf.8f8efc10246ab34c0ffa9a78f88c1708_f116865703ac,hf_kien_indoor_1745_jpg.rf.329492dc9cdf24f95aaceb1da73a9bdf_999351d86b81,4,train,train
34381,hf_kien_indoor_1727_jpg.rf.8f8efc10246ab34c0ffa9a78f88c1708_f116865703ac,hf_kien_indoor_1745_jpg.rf.6c88f752201bf372c0098340d7c1e7d8_e22172f6a99f,4,train,train
34383,hf_kien_indoor_1727_jpg.rf.8f8efc10246ab34c0ffa9a78f88c1708_f116865703ac,hf_kien_indoor_1745_jpg.rf.aed01b85da90b573f8afb0fce37b1afe_423843248e0e,4,train,train
34385,hf_kien_indoor_1727_jpg.rf.8f8efc10246ab34c0ffa9a78f88c1708_f116865703ac,hf_kien_indoor_1746_jpg.rf.6268ee99a4d9625a94db5e3842f76d25_796428bcb526,4,train,train
44191,hf_kien_indoor_1745_jpg.rf.05036fa8dd24a6ab68d56c19e1603193_1ced0907e3ca,hf_kien_indoor_1745_jpg.rf.329492dc9cdf24f95aaceb1da73a9bdf_999351d86b81,4,train,train
44192,hf_kien_indoor_1745_jpg.rf.05036fa8dd24a6ab68d56c19e1603193_1ced0907e3ca,hf_kien_indoor_1745_jpg.rf.6c88f752201bf372c0098340d7c1e7d8_e22172f6a99f,6,train,train
44194,hf_kien_indoor_1745_jpg.rf.05036fa8dd24a6ab68d56c19e1603193_1ced0907e3ca,hf_kien_indoor_1745_jpg.rf.aed01b85da90b573f8afb0fce37b1afe_423843248e0e,6,train,train
44196,hf_kien_indoor_1745_jpg.rf.05036fa8dd24a6ab68d56c19e1603193_1ced0907e3ca,hf_kien_indoor_1746_jpg.rf.6268ee99a4d9625a94db5e3842f76d25_796428bcb526,6,train,train
49096,hf_kien_indoor_1745_jpg.rf.329492dc9cdf24f95aaceb1da73a9bdf_999351d86b81,hf_kien_indoor_1745_jpg.rf.6c88f752201bf372c0098340d7c1e7d8_e22172f6a99f,2,train,train
49097,hf_kien_indoor_1745_jpg.rf.329492dc9cdf24f95aaceb1da73a9bdf_999351d86b81,hf_kien_indoor_1745_jpg.rf.a4ae88b52ea91cb44b5d385e28594a69_51d6694c3ce5,6,train,train
49098,hf_kien_indoor_1745_jpg.rf.329492dc9cdf24f95aaceb1da73a9bdf_999351d86b81,hf_kien_indoor_1745_jpg.rf.aed01b85da90b573f8afb0fce37b1afe_423843248e0e,2,train,train
49100,hf_kien_indoor_1745_jpg.rf.329492dc9cdf24f95aaceb1da73a9bdf_999351d86b81,hf_kien_indoor_1746_jpg.rf.6268ee99a4d9625a94db5e3842f76d25_796428bcb526,2,train,train
54000,hf_kien_indoor_1745_jpg.rf.6c88f752201bf372c0098340d7c1e7d8_e22172f6a99f,hf_kien_indoor_1745_jpg.rf.a4ae88b52ea91cb44b5d385e28594a69_51d6694c3ce5,6,train,train
54003,hf_kien_indoor_1745_jpg.rf.6c88f752201bf372c0098340d7c1e7d8_e22172f6a99f,hf_kien_indoor_1746_jpg.rf.6268ee99a4d9625a94db5e3842f76d25_796428bcb526,2,train,train
58903,hf_kien_indoor_1745_jpg.rf.a4ae88b52ea91cb44b5d385e28594a69_51d6694c3ce5,hf_kien_indoor_1745_jpg.rf.aed01b85da90b573f8afb0fce37b1afe_423843248e0e,6,train,train
58905,hf_kien_indoor_1745_jpg.rf.a4ae88b52ea91cb44b5d385e28594a69_51d6694c3ce5,hf_kien_indoor_1746_jpg.rf.6268ee99a4d9625a94db5e3842f76d25_796428bcb526,4,train,train
63806,hf_kien_indoor_1745_jpg.rf.aed01b85da90b573f8afb0fce37b1afe_423843248e0e,hf_kien_indoor_1746_jpg.rf.6268ee99a4d9625a94db5e3842f76d25_796428bcb526,2,train,train
102985,hf_kien_indoor_87363aa76edda483fdcc_jpg.rf.9ffcaceb66b7e1b6ed8d335a20b65f4b_1a5334c865fb,hf_kien_indoor_87363aa76edda483fdcc_jpg.rf.e9f6cbcd60e3a9cf3873cb2295657e28_258d34df8f8a,6,train,train
122551,hf_kien_indoor_2227_jpg.rf.94e09fb8ec1cf15a6739b3845c2820fb_25ccc57d7477,hf_kien_indoor_2227_jpg.rf.b963bda62d6cc4ba1abf4e05257ee264_470a72ba55e5,6,train,train
122552,hf_kien_indoor_2227_jpg.rf.94e09fb8ec1cf15a6739b3845c2820fb_25ccc57d7477,hf_kien_indoor_2227_jpg.rf.1b4d1c90603a6ef115eb868c8f0c4bdc_7ed7252e7e28,6,train,train
122555,hf_kien_indoor_2227_jpg.rf.94e09fb8ec1cf15a6739b3845c2820fb_25ccc57d7477,hf_kien_indoor_2227_jpg.rf.f864badb404037125234ba9d3d47cf5b_709ca8523000,6,train,train
127441,hf_kien_indoor_2227_jpg.rf.b963bda62d6cc4ba1abf4e05257ee264_470a72ba55e5,hf_kien_indoor_2227_jpg.rf.78ee0d5cd980d69007a1f5d27f8b02ac_89b14af67e4a,6,train,train
132328,hf_kien_indoor_2227_jpg.rf.1b4d1c90603a6ef115eb868c8f0c4bdc_7ed7252e7e28,hf_kien_indoor_2227_jpg.rf.78ee0d5cd980d69007a1f5d27f8b02ac_89b14af67e4a,6,train,train
132329,hf_kien_indoor_2227_jpg.rf.1b4d1c90603a6ef115eb868c8f0c4bdc_7ed7252e7e28,hf_kien_indoor_2227_jpg.rf.abb490c8a451745d53aaeb1cf151f3f4_7a67919656aa,2,train,train
132330,hf_kien_indoor_2227_jpg.rf.1b4d1c90603a6ef115eb868c8f0c4bdc_7ed7252e7e28,hf_kien_indoor_2227_jpg.rf.f864badb404037125234ba9d3d47cf5b_709ca8523000,2,train,train
137216,hf_kien_indoor_2227_jpg.rf.78ee0d5cd980d69007a1f5d27f8b02ac_89b14af67e4a,hf_kien_indoor_2227_jpg.rf.f864badb404037125234ba9d3d47cf5b_709ca8523000,6,train,train
142101,hf_kien_indoor_2227_jpg.rf.abb490c8a451745d53aaeb1cf151f3f4_7a67919656aa,hf_kien_indoor_2227_jpg.rf.f864badb404037125234ba9d3d47cf5b_709ca8523000,4,train,train
166516,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,2,train,train
166517,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,6,train,train
166518,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,6,train,train
166519,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,6,train,train
166520,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,4,train,train
166521,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0009_jpg.rf.bf9aa77a5c231652951a213af54eab23_1c94021e2400,4,train,train
166522,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0013_jpg.rf.dab6f7b0a69724d73ce46757387d20b8_099af6eace67,2,train,train
166523,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0016_jpg.rf.fc47bb198cf34ce71fcd41b9e483beff_762030728161,2,train,train
166524,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0017_jpg.rf.cbbb5e38157ee508e80c572640aeaad2_e03b9c1aa9e4,2,train,train
166525,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0017_jpg.rf.dbe5fbe582c960093b02b553ae1c7320_c2ddc1052c71,2,train,train
166526,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0018_jpg.rf.0460cde3d1678b735a8d17445a498d57_f1a5ea34bce5,2,train,train
166527,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0018_jpg.rf.965a516cc57c3b1b55acabe477e22da6_7a876f86ac19,2,train,train
166528,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0018_jpg.rf.a7e2de005236e3b041dc12322ef294c2_16f3baca2dbc,2,train,train
166529,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0009_jpg.rf.aa14774c0f68581005c8336be83f07dd_6fd08ccd5d0b,4,train,train
166530,hf_kien_indoor_smoke_mp4-0013_jpg.rf.6507a60674d9a661165c28ac58112d84_f00adcdd3977,hf_kien_indoor_smoke_mp4-0017_jpg.rf.edf6bc7216c6a2528a83428543dd678a_0bc3a26120b3,2,train,train
171396,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,4,train,train
171397,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,4,train,train
171398,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,4,train,train
171399,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,2,train,train
171400,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0009_jpg.rf.bf9aa77a5c231652951a213af54eab23_1c94021e2400,2,train,train
171402,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0016_jpg.rf.fc47bb198cf34ce71fcd41b9e483beff_762030728161,4,train,train
171403,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0017_jpg.rf.cbbb5e38157ee508e80c572640aeaad2_e03b9c1aa9e4,4,train,train
171404,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0017_jpg.rf.dbe5fbe582c960093b02b553ae1c7320_c2ddc1052c71,4,train,train
171405,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0018_jpg.rf.0460cde3d1678b735a8d17445a498d57_f1a5ea34bce5,4,train,train
171406,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0018_jpg.rf.965a516cc57c3b1b55acabe477e22da6_7a876f86ac19,4,train,train
171407,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0018_jpg.rf.a7e2de005236e3b041dc12322ef294c2_16f3baca2dbc,4,train,train
171408,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0009_jpg.rf.aa14774c0f68581005c8336be83f07dd_6fd08ccd5d0b,2,train,train
171409,hf_kien_indoor_smoke_mp4-0013_jpg.rf.89a23f66f8e335a4fc44aefd6924eccc_99a2eb6072f2,hf_kien_indoor_smoke_mp4-0017_jpg.rf.edf6bc7216c6a2528a83428543dd678a_0bc3a26120b3,4,train,train
176277,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,2,train,train
176278,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,hf_kien_indoor_smoke_mp4-0009_jpg.rf.bf9aa77a5c231652951a213af54eab23_1c94021e2400,2,train,train
176279,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,hf_kien_indoor_smoke_mp4-0013_jpg.rf.dab6f7b0a69724d73ce46757387d20b8_099af6eace67,4,train,train
176280,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,hf_kien_indoor_smoke_mp4-0016_jpg.rf.fc47bb198cf34ce71fcd41b9e483beff_762030728161,6,train,train
176281,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,hf_kien_indoor_smoke_mp4-0017_jpg.rf.cbbb5e38157ee508e80c572640aeaad2_e03b9c1aa9e4,6,train,train
176282,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,hf_kien_indoor_smoke_mp4-0017_jpg.rf.dbe5fbe582c960093b02b553ae1c7320_c2ddc1052c71,6,train,train
176283,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,hf_kien_indoor_smoke_mp4-0018_jpg.rf.0460cde3d1678b735a8d17445a498d57_f1a5ea34bce5,6,train,train
176284,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,hf_kien_indoor_smoke_mp4-0018_jpg.rf.965a516cc57c3b1b55acabe477e22da6_7a876f86ac19,6,train,train
176285,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,hf_kien_indoor_smoke_mp4-0018_jpg.rf.a7e2de005236e3b041dc12322ef294c2_16f3baca2dbc,6,train,train
176286,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,hf_kien_indoor_smoke_mp4-0009_jpg.rf.aa14774c0f68581005c8336be83f07dd_6fd08ccd5d0b,2,train,train
176287,hf_kien_indoor_smoke_mp4-0008_jpg.rf.1d019945565374a5b59cb423a24c1cdd_e215af5af017,hf_kien_indoor_smoke_mp4-0017_jpg.rf.edf6bc7216c6a2528a83428543dd678a_0bc3a26120b3,6,train,train
181154,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,2,train,train
181155,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,hf_kien_indoor_smoke_mp4-0009_jpg.rf.bf9aa77a5c231652951a213af54eab23_1c94021e2400,2,train,train
181156,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,hf_kien_indoor_smoke_mp4-0013_jpg.rf.dab6f7b0a69724d73ce46757387d20b8_099af6eace67,4,train,train
181157,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,hf_kien_indoor_smoke_mp4-0016_jpg.rf.fc47bb198cf34ce71fcd41b9e483beff_762030728161,6,train,train
181158,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,hf_kien_indoor_smoke_mp4-0017_jpg.rf.cbbb5e38157ee508e80c572640aeaad2_e03b9c1aa9e4,6,train,train
181159,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,hf_kien_indoor_smoke_mp4-0017_jpg.rf.dbe5fbe582c960093b02b553ae1c7320_c2ddc1052c71,6,train,train
181160,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,hf_kien_indoor_smoke_mp4-0018_jpg.rf.0460cde3d1678b735a8d17445a498d57_f1a5ea34bce5,6,train,train
181161,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,hf_kien_indoor_smoke_mp4-0018_jpg.rf.965a516cc57c3b1b55acabe477e22da6_7a876f86ac19,6,train,train
181162,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,hf_kien_indoor_smoke_mp4-0018_jpg.rf.a7e2de005236e3b041dc12322ef294c2_16f3baca2dbc,6,train,train
181163,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,hf_kien_indoor_smoke_mp4-0009_jpg.rf.aa14774c0f68581005c8336be83f07dd_6fd08ccd5d0b,2,train,train
181164,hf_kien_indoor_smoke_mp4-0008_jpg.rf.314daf678ae08a17886126f588695353_6d9712b1ca1a,hf_kien_indoor_smoke_mp4-0017_jpg.rf.edf6bc7216c6a2528a83428543dd678a_0bc3a26120b3,6,train,train
186030,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,2,train,train
186031,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,hf_kien_indoor_smoke_mp4-0009_jpg.rf.bf9aa77a5c231652951a213af54eab23_1c94021e2400,2,train,train
186032,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,hf_kien_indoor_smoke_mp4-0013_jpg.rf.dab6f7b0a69724d73ce46757387d20b8_099af6eace67,4,train,train
186033,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,hf_kien_indoor_smoke_mp4-0016_jpg.rf.fc47bb198cf34ce71fcd41b9e483beff_762030728161,6,train,train
186034,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,hf_kien_indoor_smoke_mp4-0017_jpg.rf.cbbb5e38157ee508e80c572640aeaad2_e03b9c1aa9e4,6,train,train
186035,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,hf_kien_indoor_smoke_mp4-0017_jpg.rf.dbe5fbe582c960093b02b553ae1c7320_c2ddc1052c71,6,train,train
186036,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,hf_kien_indoor_smoke_mp4-0018_jpg.rf.0460cde3d1678b735a8d17445a498d57_f1a5ea34bce5,6,train,train
186037,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,hf_kien_indoor_smoke_mp4-0018_jpg.rf.965a516cc57c3b1b55acabe477e22da6_7a876f86ac19,6,train,train
186038,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,hf_kien_indoor_smoke_mp4-0018_jpg.rf.a7e2de005236e3b041dc12322ef294c2_16f3baca2dbc,6,train,train
186039,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,hf_kien_indoor_smoke_mp4-0009_jpg.rf.aa14774c0f68581005c8336be83f07dd_6fd08ccd5d0b,2,train,train
186040,hf_kien_indoor_smoke_mp4-0008_jpg.rf.944874c3025e4b64c8e016ca711450a3_e96354924244,hf_kien_indoor_smoke_mp4-0017_jpg.rf.edf6bc7216c6a2528a83428543dd678a_0bc3a26120b3,6,train,train
190907,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,hf_kien_indoor_smoke_mp4-0013_jpg.rf.dab6f7b0a69724d73ce46757387d20b8_099af6eace67,2,train,train
190908,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,hf_kien_indoor_smoke_mp4-0016_jpg.rf.fc47bb198cf34ce71fcd41b9e483beff_762030728161,6,train,train
190909,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,hf_kien_indoor_smoke_mp4-0017_jpg.rf.cbbb5e38157ee508e80c572640aeaad2_e03b9c1aa9e4,6,train,train
190910,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,hf_kien_indoor_smoke_mp4-0017_jpg.rf.dbe5fbe582c960093b02b553ae1c7320_c2ddc1052c71,6,train,train
190911,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,hf_kien_indoor_smoke_mp4-0018_jpg.rf.0460cde3d1678b735a8d17445a498d57_f1a5ea34bce5,6,train,train
190912,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,hf_kien_indoor_smoke_mp4-0018_jpg.rf.965a516cc57c3b1b55acabe477e22da6_7a876f86ac19,6,train,train
190913,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,hf_kien_indoor_smoke_mp4-0018_jpg.rf.a7e2de005236e3b041dc12322ef294c2_16f3baca2dbc,6,train,train
190915,hf_kien_indoor_smoke_mp4-0009_jpg.rf.a5cd5b48e139c6f21c66682b741ba08c_14cadcf3489a,hf_kien_indoor_smoke_mp4-0017_jpg.rf.edf6bc7216c6a2528a83428543dd678a_0bc3a26120b3,6,train,train
